time,taum,tau*
3/1/2023 0:00,5.509495866,0.0078
3/1/2023 0:15,7.301694475,0.0103
3/1/2023 0:30,9.220765336,0.0131
3/1/2023 0:45,9.220765336,0.0131
3/1/2023 1:00,7.312303704,0.0104
3/1/2023 1:15,9.209599065,0.013
3/1/2023 1:30,10.52993432,0.0149
3/1/2023 1:45,10.52993432,0.0149
3/1/2023 2:00,14.6021538,0.0207
3/1/2023 2:15,11.20612373,0.0159
3/1/2023 2:30,12.54962538,0.0178
3/1/2023 2:45,10.52993432,0.0149
3/1/2023 3:00,12.54962538,0.0178
3/1/2023 3:15,12.54962538,0.0178
3/1/2023 3:30,14.6021538,0.0207
3/1/2023 3:45,11.19461688,0.0158
3/1/2023 4:00,12.54962538,0.0178
3/1/2023 4:15,15.987649,0.0226
3/1/2023 4:30,11.87587172,0.0168
3/1/2023 4:45,11.87587172,0.0168
3/1/2023 5:00,13.9184057,0.0197
3/1/2023 5:15,13.9184057,0.0197
3/1/2023 5:30,13.90664004,0.0197
3/1/2023 5:45,15.97578169,0.0226
3/1/2023 6:00,18.05422365,0.0256
3/1/2023 6:15,15.28813691,0.0216
3/1/2023 6:30,13.90664004,0.0197
3/1/2023 6:45,13.90664004,0.0197
3/1/2023 7:00,13.90664004,0.0197
3/1/2023 7:15,13.90664004,0.0197
3/1/2023 7:30,17.36465688,0.0246
3/1/2023 7:45,15.28813691,0.0216
3/1/2023 8:00,17.36465688,0.0246
3/1/2023 8:15,13.90664004,0.0197
3/1/2023 8:30,8.566640628,0.0121
3/1/2023 8:45,11.8642878,0.0168
3/1/2023 9:00,8.566640628,0.0121
3/1/2023 9:15,8.566640628,0.0121
3/1/2023 9:30,3.869827791,0.0055
3/1/2023 9:45,6.089034242,0.0086
3/1/2023 10:00,9.209599065,0.013
3/1/2023 10:15,7.301694475,0.0103
3/1/2023 10:30,7.301694475,0.0103
3/1/2023 10:45,5.509495866,0.0078
3/1/2023 11:00,4.392894674,0.0062
3/1/2023 11:15,7.301694475,0.0103
3/1/2023 11:30,5.509495866,0.0078
3/1/2023 11:45,2.999484758,0.0042
3/1/2023 12:00,6.089034242,0.0086
3/1/2023 12:15,5.509495866,0.0078
3/1/2023 12:30,5.509495866,0.0078
3/1/2023 12:45,3.869827791,0.0055
3/1/2023 13:00,5.509495866,0.0078
3/1/2023 13:15,7.301694475,0.0103
3/1/2023 13:30,3.869827791,0.0055
3/1/2023 13:45,5.509495866,0.0078
3/1/2023 14:00,5.519351521,0.0078
3/1/2023 14:15,5.519351521,0.0078
3/1/2023 14:30,3.869827791,0.0055
3/1/2023 14:45,5.509495866,0.0078
3/1/2023 15:00,2.655819812,0.0038
3/1/2023 15:15,2.880982424,0.0041
3/1/2023 15:30,2.546942543,0.0036
3/1/2023 15:45,2.880982424,0.0041
3/1/2023 16:00,3.878679674,0.0055
3/1/2023 16:15,6.694025856,0.0095
3/1/2023 16:30,3.001562931,0.0042
3/1/2023 16:45,5.519351521,0.0078
3/1/2023 17:00,7.312303704,0.0104
3/1/2023 17:15,5.519351521,0.0078
3/1/2023 17:30,4.946630151,0.007
3/1/2023 17:45,4.946630151,0.007
3/1/2023 18:00,3.878679674,0.0055
3/1/2023 18:15,3.878679674,0.0055
3/1/2023 18:30,4.946630151,0.007
3/1/2023 18:45,6.694025856,0.0095
3/1/2023 19:00,6.694025856,0.0095
3/1/2023 19:15,6.694025856,0.0095
3/1/2023 19:30,6.694025856,0.0095
3/1/2023 19:45,8.566640628,0.0121
3/1/2023 20:00,6.694025856,0.0095
3/1/2023 20:15,7.312303704,0.0104
3/1/2023 20:30,5.519351521,0.0078
3/1/2023 20:45,8.566640628,0.0121
3/1/2023 21:00,6.694025856,0.0095
3/1/2023 21:15,5.519351521,0.0078
3/1/2023 21:30,8.566640628,0.0121
3/1/2023 21:45,9.86108334,0.014
3/1/2023 22:00,8.566640628,0.0121
3/1/2023 22:15,6.694025856,0.0095
3/1/2023 22:30,8.566640628,0.0121
3/1/2023 22:45,7.933815557,0.0112
3/1/2023 23:00,10.52993432,0.0149
3/1/2023 23:15,4.946630151,0.007
3/1/2023 23:30,5.509495866,0.0078
3/1/2023 23:45,9.872381543,0.014
3/2/2023 0:00,6.694025856,0.0095
3/2/2023 0:15,6.694025856,0.0095
3/2/2023 0:30,9.872381543,0.014
3/2/2023 0:45,7.933815557,0.0112
3/2/2023 1:00,9.872381543,0.014
3/2/2023 1:15,9.86108334,0.014
3/2/2023 1:30,9.86108334,0.014
3/2/2023 1:45,7.933815557,0.0112
3/2/2023 2:00,6.099162957,0.0086
3/2/2023 2:15,9.872381543,0.014
3/2/2023 2:30,9.872381543,0.014
3/2/2023 2:45,11.87587172,0.0168
3/2/2023 3:00,11.19461688,0.0158
3/2/2023 3:15,9.209599065,0.013
3/2/2023 3:30,7.923000907,0.0112
3/2/2023 3:45,9.86108334,0.014
3/2/2023 4:00,7.923000907,0.0112
3/2/2023 4:15,9.86108334,0.014
3/2/2023 4:30,7.301694475,0.0103
3/2/2023 4:45,9.209599065,0.013
3/2/2023 5:00,7.301694475,0.0103
3/2/2023 5:15,7.301694475,0.0103
3/2/2023 5:30,7.301694475,0.0103
3/2/2023 5:45,9.209599065,0.013
3/2/2023 6:00,11.19461688,0.0158
3/2/2023 6:15,5.509495866,0.0078
3/2/2023 6:30,9.209599065,0.013
3/2/2023 6:45,7.301694475,0.0103
3/2/2023 7:00,9.209599065,0.013
3/2/2023 7:15,7.301694475,0.0103
3/2/2023 7:30,9.209599065,0.013
3/2/2023 7:45,7.301694475,0.0103
3/2/2023 8:00,11.19461688,0.0158
3/2/2023 8:15,9.86108334,0.014
3/2/2023 8:30,9.86108334,0.014
3/2/2023 8:45,7.301694475,0.0103
3/2/2023 9:00,7.933815557,0.0112
3/2/2023 9:15,6.694025856,0.0095
3/2/2023 9:30,6.099162957,0.0086
3/2/2023 9:45,7.933815557,0.0112
3/2/2023 10:00,3.36806233,0.0048
3/2/2023 10:15,2.766400111,0.0039
3/2/2023 10:30,2.546942543,0.0036
3/2/2023 10:45,2.245427057,0.0032
3/2/2023 11:00,2.880982424,0.0041
3/2/2023 11:15,2.546942543,0.0036
3/2/2023 11:30,3.869827791,0.0055
3/2/2023 11:45,2.655819812,0.0038
3/2/2023 12:00,2.343658254,0.0033
3/2/2023 12:15,3.36806233,0.0048
3/2/2023 12:30,3.36806233,0.0048
3/2/2023 12:45,3.36806233,0.0048
3/2/2023 13:00,2.882992075,0.0041
3/2/2023 13:15,5.519351521,0.0078
3/2/2023 13:30,3.36806233,0.0048
3/2/2023 13:45,3.36806233,0.0048
3/2/2023 14:00,2.5487565,0.0036
3/2/2023 14:15,2.882992075,0.0041
3/2/2023 14:30,2.655819812,0.0038
3/2/2023 14:45,2.882992075,0.0041
